id_comorbilidad,hemorragicos,diabetes,hipertension,enfermedad_ulc_peptica,enfermedad_renal,inmunosupr,cirrosis_hepatica,embarazo
1,SI,SI,SI,SI,SI,SI,SI,SI
2,SI,SI,SI,SI,SI,SI,SI,NO
3,SI,SI,SI,SI,SI,SI,NO,SI
4,SI,SI,SI,SI,SI,SI,NO,NO
5,SI,SI,SI,SI,SI,NO,SI,SI
6,SI,SI,SI,SI,SI,NO,SI,NO
7,SI,SI,SI,SI,SI,NO,NO,SI
8,SI,SI,SI,SI,SI,NO,NO,NO
9,SI,SI,SI,SI,NO,SI,SI,SI
10,SI,SI,SI,SI,NO,SI,SI,NO
11,SI,SI,SI,SI,NO,SI,NO,SI
12,SI,SI,SI,SI,NO,SI,NO,NO
13,SI,SI,SI,SI,NO,NO,SI,SI
14,SI,SI,SI,SI,NO,NO,SI,NO
15,SI,SI,SI,SI,NO,NO,NO,SI
16,SI,SI,SI,SI,NO,NO,NO,NO
17,SI,SI,SI,NO,SI,SI,SI,SI
18,SI,SI,SI,NO,SI,SI,SI,NO
19,SI,SI,SI,NO,SI,SI,NO,SI
20,SI,SI,SI,NO,SI,SI,NO,NO
21,SI,SI,SI,NO,SI,NO,SI,SI
22,SI,SI,SI,NO,SI,NO,SI,NO
23,SI,SI,SI,NO,SI,NO,NO,SI
24,SI,SI,SI,NO,SI,NO,NO,NO
25,SI,SI,SI,NO,NO,SI,SI,SI
26,SI,SI,SI,NO,NO,SI,SI,NO
27,SI,SI,SI,NO,NO,SI,NO,SI
28,SI,SI,SI,NO,NO,SI,NO,NO
29,SI,SI,SI,NO,NO,NO,SI,SI
30,SI,SI,SI,NO,NO,NO,SI,NO
31,SI,SI,SI,NO,NO,NO,NO,SI
32,SI,SI,SI,NO,NO,NO,NO,NO
33,SI,SI,NO,SI,SI,SI,SI,SI
34,SI,SI,NO,SI,SI,SI,SI,NO
35,SI,SI,NO,SI,SI,SI,NO,SI
36,SI,SI,NO,SI,SI,SI,NO,NO
37,SI,SI,NO,SI,SI,NO,SI,SI
38,SI,SI,NO,SI,SI,NO,SI,NO
39,SI,SI,NO,SI,SI,NO,NO,SI
40,SI,SI,NO,SI,SI,NO,NO,NO
41,SI,SI,NO,SI,NO,SI,SI,SI
42,SI,SI,NO,SI,NO,SI,SI,NO
