id_diagnostico,tipo_paciente,dictamen,resultado_pcr,estatus_caso
1,AMBULATORIO,CONFIRMADO A DENGUE,DENV1,PROBABLE
2,AMBULATORIO,CONFIRMADO A DENGUE,DENV1,CONFIRMADO
3,AMBULATORIO,CONFIRMADO A DENGUE,DENV1,DESCARTADO
4,AMBULATORIO,CONFIRMADO A DENGUE,DENV2,PROBABLE
5,AMBULATORIO,CONFIRMADO A DENGUE,DENV2,CONFIRMADO
6,AMBULATORIO,CONFIRMADO A DENGUE,DENV2,DESCARTADO
7,AMBULATORIO,CONFIRMADO A DENGUE,DENV3,PROBABLE
8,AMBULATORIO,CONFIRMADO A DENGUE,DENV3,CONFIRMADO
9,AMBULATORIO,CONFIRMADO A DENGUE,DENV3,DESCARTADO
10,AMBULATORIO,CONFIRMADO A DENGUE,DENV4,PROBABLE
11,AMBULATORIO,CONFIRMADO A DENGUE,DENV4,CONFIRMADO
12,AMBULATORIO,CONFIRMADO A DENGUE,DENV4,DESCARTADO
13,AMBULATORIO,CONFIRMADO A DENGUE,SIN SEROTIPO AISLADO,PROBABLE
14,AMBULATORIO,CONFIRMADO A DENGUE,SIN SEROTIPO AISLADO,CONFIRMADO
15,AMBULATORIO,CONFIRMADO A DENGUE,SIN SEROTIPO AISLADO,DESCARTADO
16,AMBULATORIO,CONFIRMADO A CHIKUNGUNYA,DENV1,PROBABLE
17,AMBULATORIO,CONFIRMADO A CHIKUNGUNYA,DENV1,CONFIRMADO
18,AMBULATORIO,CONFIRMADO A CHIKUNGUNYA,DENV1,DESCARTADO
19,AMBULATORIO,CONFIRMADO A CHIKUNGUNYA,DENV2,PROBABLE
20,AMBULATORIO,CONFIRMADO A CHIKUNGUNYA,DENV2,CONFIRMADO
21,AMBULATORIO,CONFIRMADO A CHIKUNGUNYA,DENV2,DESCARTADO
22,AMBULATORIO,CONFIRMADO A CHIKUNGUNYA,DENV3,PROBABLE
23,AMBULATORIO,CONFIRMADO A CHIKUNGUNYA,DENV3,CONFIRMADO
24,AMBULATORIO,CONFIRMADO A CHIKUNGUNYA,DENV3,DESCARTADO
25,AMBULATORIO,CONFIRMADO A CHIKUNGUNYA,DENV4,PROBABLE
